Genes	B	cancer	CD4	CD8	M0	M1	M2	Mono	Neu	NK
NELL2	0	2.8705288266555	224.877195762953	113.35605382934	0	0	0	1.42384223828	0	0.992504605221368
NENF	46.6646290881814	106.704116659735	84.2775747553464	99.9404292087315	435.823272561541	347.69035095786103	393.310012085505	58.3775317694799	0	69.1280949644615
NEO1	3.28568721791006	26.305364183704	13.6796876751601	18.8926756382233	0.359881796312096	0.100470927330584	1.51243318971811	0.336170613309667	0.31552244959493	31.1211221810657
NES	0	14.4767354606348	0	0	36.5423693928402	33.33628466521	14.9427901271118	0	0	0
NETO1	6.36961535097958	0.217892373395282	0	0	0	0	0	0	0	0
NETO2	0	11.5345726661226	0.177708138521239	4.55976599280925	10.6978028605276	38.5006211990772	16.4254444884505	6.96609254453946	0.130924668564202	0
NFAM1	0	2.22156898163335	0	0	1.41530180029262	2.26949425877259	0	3.20364503613	18.7546347734803	0
NFATC2	6.34852255142587	3.29940569470972	9.74357504497856	18.0712549583006	0	0	0	0	0	20.2846627728185
NFKB2	53.9456350452026	39.1752488180592	11.1765795615105	10.8203220600005	5.67423138060791	7.47860256281616	0.33521315282552	137.500388557615	81.3756896135001	8.52708520105348
NID1	0	31.7452056685586	0	0	5.33552742742323	6.32483801594385	0.349023043781102	36.306426237444	0	0
NINL	0	9.00991692166286	0.81762735564178	1.64284135984551	12.2642929153988	7.29011741045666	25.800800202379	0	0	3.39267486908702
NIPAL1	0	2.50167428565405	0	0.196733128363645	0.188824889839559	0	5.8662301744466	0	0	0
NIPAL2	28.7930690118566	14.7279425224706	0.897348172786729	2.27988299640462	8.29975721112178	15.6877929682999	9.10576273370874	9.14155462734169	0	10.7959137836534
NIPSNAP1	4.38091629054675	59.0360133569463	15.4038127630748	6.57136543938203	2.28849958363531	1.16249359621909	3.14120739402991	0	1.0460820478365	3.88892717169771
NKG7	1.33319645849693	10.1402946284685	4.27518334821026	567.690866104752	0	3.55573151579761	0	4.20062286835892	1.04256376609264	2178.96789939858
NLRC4	0	0.943897062719529	0	0	26.9798004219917	16.1817966027443	15.0079908825874	8.86593596577749	4.95776360802908	0
NLRP1	15.2239215464989	12.7123230133617	8.99219616674896	5.74994475945928	0.359881796312096	0	0	7.83113231053999	26.843145726075	2.89642256647634
NME8	0	0.375583288722519	0	4.55976599280925	2.7112261648186	8.54951130589094	3.37388942321732	25.6478861867134	21.1754766123772	74.0597771734585
NMUR1	0	0.26457655230354	0.197436168959419	23.6079754036374	3.77649779679119	0.814493554423808	6.60752200304827	0.316640570206339	0	256.11578501873
NOC3L	116.827050128568	11.0528957737374	62.7995843770632	62.4279716741293	36.9449451447136	58.5189557554663	36.0657145240472	14.2488256592852	0.141494330109951	55.7909644281926
